-2.5419,-0.65804,2.6842,1.1952,1.0
4.3848,-3.0729,3.0423,1.2741,0.0
0.57461,10.1105,-1.6917,-4.3922,0.0
-2.1979,-2.1252,1.7151,0.45171,1.0
0.11032,1.9741,-3.3668,-0.65259,1.0
-1.7582,2.7397,-2.5323,-2.234,1.0
-0.7351,1.7361,-1.4938,-1.1582,1.0
-1.2537,10.8803,1.931,-4.3237,0.0
1.8993,7.6625,0.15394,-3.1108,0.0
-5.3857,9.1214,-0.41929,-5.9181,1.0
0.19081,9.1297,-3.725,-5.8224,0.0
0.3292,-4.4552,4.5718,-0.9888,0.0
5.086,3.2798,-1.2701,1.1189,0.0
-0.49081,2.8452,-3.6436,-3.1004,1.0
0.0031201,-4.0061,1.7956,0.91722,1.0
1.8114,7.6067,-0.9788,-2.4668,0.0
-1.8554,-9.6035,7.7764,-0.97716,1.0
-0.17296,-1.1816,1.3818,0.7336,1.0
2.8237,2.8597,0.19678,0.57196,0.0
1.7257,-4.4697,8.2219,-1.8073,0.0
-1.7279,-6.841,8.9494,0.68058,1.0
0.65497,5.1815,1.0673,-0.42113,0.0
1.7819,6.9176,-1.2744,-1.5759,0.0
4.0215,-2.1914,2.4648,1.1409,0.0
-5.873,9.1752,-0.27448,-6.0422,1.0
2.8232,10.8513,-3.1466,-3.9784,0.0
3.8481,10.1539,-3.8561,-4.2228,0.0
2.0597,-0.99326,5.2119,-0.29312,0.0
-6.7526,8.8172,-0.061983,-3.725,1.0
0.51947,-3.2633,3.0895,-0.98492,0.0
-0.41965,2.9094,-1.7859,-2.2069,1.0
-0.37013,-5.554,4.7749,1.547,1.0
-3.1423,-13.0365,15.6773,-0.66165,1.0
3.1896,5.7526,-0.18537,-0.30087,0.0
3.404,8.7261,-2.9915,-0.57242,0.0
4.2772,2.4955,0.48554,0.36119,0.0
5.0185,8.5978,-2.9375,-1.281,0.0
-0.95403,1.9824,-2.3163,-1.1957,1.0
3.2032,5.7588,-0.75345,-0.61251,0.0
-2.1059,1.1815,-0.53324,-0.82716,1.0
-0.47465,-4.3496,1.9901,0.7517,1.0
3.4591,11.112,-4.2039,-5.0931,0.0
-0.8734,-0.033118,-0.20165,0.55774,1.0
0.77805,6.6424,-1.1425,-1.0573,0.0
-2.2153,11.9625,0.078538,-7.7853,0.0
-2.5724,-0.95602,2.7073,-0.16639,1.0
-3.8894,-7.8322,9.8208,0.47498,1.0
